Serial,DeploymentId,Name,DBA,InvHub-Invoices,InvHub-Statements,EP-Unknown,EP-Unknown-PAID,EP-SO,EP-SO-PAID,EP-PartsDeposit,EP-PartsDeposit-PAID,EP-SalesDeposit,EP-SalesDeposit-PAID,EP-Invoice,EP-Invoice-PAID,EP-SODeposit,EP-SODeposit-PAID,EP-ApptDeposit,EP-ApptDeposit-PAID,EP-ARExpressPay,EP-ARExpressPay-PAID,EP-ARStatement,EP-ARStatement-PAID,Usage-AddWork,Usage-AddWorkTech,Usage-ArchiveCount,Usage-AttachmentCount,Usage-AutoBilling,Usage-BarcodeLabel,Usage-BinLabel,Usage-CustomerCare,Usage-DataTablesTotalSize,Usage-DealActivity,Usage-DueBill,Usage-eSignature,Usage-InspectionReportLayout,Usage-MakeReady,Usage-MaxUsers,Usage-OnlineApproval,Usage-PartRequest,Usage-PickTicketLabel,Usage-PurchaseOrder,Usage-ServiceEstimates,Usage-ServiceInspections,Usage-ServiceOrders,Usage-ServiceOrders-Closed,Usage-ServiceOrders-CustPay,Usage-ServieOrders-WithMedia,Usage-SOPLabel,Usage-TiresInStorage,Usage-TireStorageLabel,Usage-VSL,Usage-WPEvent
4410,4D346B0B-7A7B-4111-9B29-2910A24CDBAB,SIOUX CITY FORD LINCOLN,SIOUX CITY FORD LINCOLN,521,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1235,0,12847,452,0,1,0,1,0,0,0,,0,0,43,0,26,1,346,0,0,2137,1972,1361,0,2,0,0,1,4514
4411,8014AD81-9267-4288-8618-504E1AE4E730,CLASSIC CHEVROLET SUGARLAND LLC,,16175,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2127,0,168706,56671,0,2,3,3,8,1,0,,0,0,186,0,5446,8,2739,1,0,4822,4411,2045,0,2,0,0,0,21319
4413,F6C6D0A8-599D-4F58-9675-2E1AB1464396,SMITH MOTOR CO.,,219,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,1686,95,0,1,0,0,8,0,0,,0,0,8,0,0,1,0,3,0,501,473,438,0,1,0,0,0,93
4418,CA3C485E-9473-43E7-AEDC-9F6742E81C84,BRASS HIGHWAY 57 FORD,,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,443,6,0,0,0,0,8,0,0,,,0,4,0,2,0,0,13,,115,67,105,0,0,0,0,0,4
4419,F9623B25-2615-47E0-9F17-7B87406E1495,RICHMOND FORD WEST,,161,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1284,0,75269,2343,0,1,4,1,0,77,180,,,0,53,0,28,1,0,24,,1825,1665,990,1,1,0,0,1,2443
4420,F9623B25-2615-47E0-9F17-7B87406E1495,RICHMOND FORD LLC,RICHMOND FORD LINCOLN,6178,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1241,2,75269,2343,0,2,1,1,0,0,131,,,0,76,0,2582,1,0,31,,2001,1694,967,0,6,0,0,1,2333
4421,7081B03F-5A2D-4145-9172-2850B2D121C7,QUALITY AUTO SALES,,218,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,204,13429,1106,0,1,1,0,8,0,0,,0,0,35,0,1286,1,71,65,0,295,238,257,0,1,0,0,1,1414
4422,7081B03F-5A2D-4145-9172-2850B2D121C7,EXECUTIVE MOTORS LTD.,,147,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,289,13429,1106,0,1,1,0,8,0,0,,0,0,16,0,2294,1,66,67,0,434,374,382,0,1,0,0,1,459
4423,7081B03F-5A2D-4145-9172-2850B2D121C7,OMEGA MOTORS LTD.,,65,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,252,13429,1106,0,1,2,0,8,0,0,,0,0,15,0,997,1,21,12,0,118,72,86,0,0,0,0,1,130
4424,7081B03F-5A2D-4145-9172-2850B2D121C7,QUALITY AUTO SALES (FREEPORT) LTD.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13429,1106,0,0,0,0,8,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4428,2BE2BC9B-2226-4D53-885A-EE8DC4506527,QUIRK COMMERCIAL TRUCK,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,0,181906,89573,0,2,0,26,0,0,0,,,0,20,0,1007,1,0,4,,781,700,659,0,2,0,0,0,145
4429,49D8FF01-B4CC-4D4F-8243-02776052D8A5,COUNTRY CHEVROLET INC.,,148,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,1,1827,47,0,1,1,0,0,0,0,,0,0,18,0,604,1,0,10,0,452,430,241,0,1,0,0,0,1461
4430,0D4E66AE-7769-427A-8EA8-A39EF7C413E1,BEST CHEVROLET INC.,,1375,86,0,0,165,54,0,0,47,38,0,0,0,0,0,0,0,0,0,0,853,16,19276,1240,0,3,0,3,8,0,0,,0,0,52,0,1672,1,371,21,0,1332,1210,853,0,2,0,0,0,3461
4431,936BD7A8-46C2-4AC9-BCCA-A06E21FA0BC6,BEST CHRYSLER DODGE JEEP RAM,,135,0,0,0,45,24,22,17,7,5,0,0,0,0,0,0,0,0,0,0,498,1,4732,59,0,1,0,0,0,0,0,,0,0,41,0,304,1,139,0,0,785,667,486,0,1,0,0,0,4741
4435,78EF0E4C-C097-4B15-AF7A-8C7EB49ACDEA,LYNCH MOTOR VEHICLE GROUP INC,LYNCH BUICK GMC OF WEST BEND,415,0,0,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429,142,68459,2239,0,0,0,2,0,0,0,,,0,30,0,1557,1,274,5,,934,882,437,0,1,0,0,0,4947
4436,61707653-8EBC-4923-9397-499314563F00,REX CHEVROLET GMC-TRUCK LTD.,MARK HANSEN'S REX CHEVROLET GMC,217,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,1327,285,0,0,0,0,0,0,0,,0,0,9,0,0,1,0,1,0,331,310,207,0,0,0,0,0,764
4438,2BCB1EEC-30CA-44CA-8B6B-E819B5EA3F8C,VARNEY INC.,VARNEY BUICK GMC,274,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,6465,20,0,1,0,1,0,0,0,,0,0,44,0,3,1,283,1,0,1426,1177,786,0,1,0,0,0,36
4439,14448E6D-22B9-4294-9332-1D629C23D384,VARNEY CHEVROLET INC.,,77,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,1929,20,0,0,0,0,0,0,0,,0,0,18,0,0,1,182,1,0,367,312,230,0,0,0,0,0,19
4440,E0409726-20BF-4FEF-95BB-708CDCA3A292,VARNEY FORD INC.,,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,265,2561,1,0,1,0,0,0,0,0,,0,0,19,0,0,1,145,0,0,371,314,242,0,1,0,0,0,15
4441,4B30E5E9-5BAC-49A8-92EC-FBFD50FF1C51,RON ALPEN FORD INC.,,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,1229,20,0,0,0,0,0,0,0,,0,0,8,0,0,0,0,24,0,408,365,318,0,0,0,0,0,275
4442,9E499F30-5634-4640-89A3-3B49A69D2B19,ERVIN MOTOR CO.,,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,665,139,0,0,0,0,8,0,0,,0,0,4,0,0,1,0,0,0,176,168,145,0,0,0,0,0,400
4444,B995ABBE-C115-4499-AEF3-C373E7E93FE1,JOHNSON SALES INC.,,747,0,0,0,18,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,6081,1129,0,1,0,0,0,0,0,,0,0,24,0,349,1,0,42,0,521,432,408,0,1,0,0,0,884
4445,F9623B25-2615-47E0-9F17-7B87406E1495,WEST POINT FORD LLC,,140,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,1,75269,2343,0,2,1,1,0,0,0,,,0,16,0,38,1,0,0,,554,503,318,0,3,0,0,1,132
4447,EF4D67F7-6B8F-4C8D-A8B6-AD2A871C6C4E,PEARMAN MOTOR COMPANY LTD,,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1953,808,0,1,0,0,8,0,0,,,0,18,0,0,1,0,0,,319,280,202,5,1,0,0,0,1653
4448,99E45963-E487-4137-9F58-5B0BA440F263,CARR AUTO GROUP,CARR NISSAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57257,13856,0,0,0,48,0,0,0,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1
4449,99E45963-E487-4137-9F58-5B0BA440F263,CARR AUTO GROUP INC,CARR CHEVROLET,610,119,0,0,74,24,17,2,1,0,0,0,0,0,0,0,8,8,0,0,3874,2596,57257,13856,0,14,1,48,0,0,106,,,0,76,0,6186,1,810,70,,1946,1681,1073,1,1,0,0,0,16280
4450,99E45963-E487-4137-9F58-5B0BA440F263,CARR AUTO GROUP INC,CARR VANCOUVER,47,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,793,692,57257,13856,0,7,17,48,0,0,20,,,0,25,0,2526,1,373,1,,926,827,480,0,2,0,0,0,1592
4451,99E45963-E487-4137-9F58-5B0BA440F263,CARR AUTO GROUP INC.,CARR SUBARU,18,0,0,0,10,5,0,0,0,0,0,0,14,6,0,0,0,0,0,0,4660,2091,57257,13856,0,5,2,48,0,0,171,,,0,63,0,3679,1,500,19,,3869,3706,2184,5,9,0,0,0,8912
4457,3EC19C5A-5BFE-4B45-93E9-44B4909CA9A4,495 COLLISION,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62039,20121,0,0,0,0,14456,0,0,,,0,0,0,0,0,2,0,,0,0,0,0,0,0,0,0,838
4458,3EC19C5A-5BFE-4B45-93E9-44B4909CA9A4,WESLACO COLLISION,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62039,20121,0,0,0,0,14456,0,0,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,838
4459,3EC19C5A-5BFE-4B45-93E9-44B4909CA9A4,HARLINGEN COLLISION,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62039,20121,0,0,0,0,14456,0,0,,,0,0,0,0,0,16,0,,0,0,0,0,0,0,0,0,838
4468,6DF451B4-DF3A-43FB-8026-4736FF8B0588,MARTIN'S GARAGE INC.,,98,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,214,2562,51,0,1,0,0,0,0,0,,0,13,15,0,179,1,15,6,0,408,385,238,0,1,0,0,0,872
4469,3DD4A1D7-F8D2-4C43-A459-A2369E1C108E,MARTIN FORD SALES INC.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,1,0,0,0,0
4471,F9959612-BEEA-44B5-911B-406946B150DF,TILL'S GARAGE INC.,,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,196,0,2997,92,0,0,0,0,0,0,30,,,0,5,0,0,1,0,0,,585,535,508,0,1,0,0,0,631
4472,CFB93EF0-1CED-4B1D-9DF6-BF887FFF70CF,DELZELL BROTHERS INC.,,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,1207,60,0,0,0,0,0,0,0,,0,0,8,0,0,1,0,83,0,240,202,184,0,0,0,0,0,3909
4475,aac51892-1af9-480f-a3f6-a951bc9a059a,BACON CHEVROLET INC.,,141,0,0,0,21,6,0,0,0,0,5,4,0,0,0,0,1,1,0,0,28,0,3032,466,0,0,1,0,11304,0,0,,,0,17,0,0,1,217,0,,319,282,221,0,0,0,0,1,3003
4476,128a3e8c-05e8-4944-823c-13f091342281,BACON AUTO COUNTRY INC.,,103,20,0,0,48,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,3078,846,0,0,0,0,15264,1,3,,,0,21,0,0,1,75,0,,312,287,191,0,1,0,0,0,1983
4477,098d9890-9fdf-47ac-b922-2a7585b405c3,BACON AUTO RANCH,,114,0,0,0,3,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,28,0,3823,21,0,0,0,0,16792,5,0,,,0,20,0,0,1,209,1,,353,302,197,0,1,0,0,0,2237
4478,854A2F3E-443E-4388-8B81-AFA5B0BC98E6,GOUND CHEVROLET COMPANY,,46,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,2071,469,0,1,0,1,8,0,0,,0,0,15,0,0,1,0,0,0,469,442,311,0,0,0,0,0,60
4481,4C4FFC1F-C77E-43CB-925C-6670139D1B02,SHEPHERD'S CDJR INC.,,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1062,963,3757,203,0,1,0,0,8,0,15,,,0,15,49,908,1,0,6,,401,328,243,17,1,0,0,1,1432
4487,7C2ABE2F-19C7-4E8F-9148-0F9CBBEC1966,CREECH INC.,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,174,8,0,1,0,0,8,0,0,,0,0,8,0,0,0,0,0,0,6,2,6,0,0,0,0,0,5
4494,DBCFBA26-BC8B-4B83-BF98-203856FD58EA,MILDENBERGER MOTORS,,60,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,2413,43,0,0,0,0,8,0,2,,0,0,20,0,0,0,7,0,0,473,424,317,0,1,0,0,0,923
4495,C732ADE2-E126-4280-918E-7E8231E7160D,CONTINENTAL MOTORS LTD.,PEUGEOT BERMUDA,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,785,126,0,0,0,0,8,0,0,,0,0,4,0,0,1,0,9,0,35,27,31,0,0,0,0,0,29
4496,47470B87-DCC2-4ADB-8830-B08240005573,REAL AUTO B.V.,,87,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,6669,1456,700,2,2,9,8,26,0,,,202,39,0,361,2,50,72,,644,533,399,58,3,0,0,0,2768
4497,9ee1eaec-0d56-4542-abdc-3f8a04e2640f,AUTO TRADE LTD.,,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583,181,11369,1006,464,1,0,0,8,0,0,,,18,34,0,1037,1,135,134,,404,356,292,9,1,0,0,0,521
4498,564F52E8-B577-4499-9FFC-5FE44B126DAD,PURSCH MOTORS INC.,,61,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,3117,1498,0,1,0,4,0,0,5,,0,0,22,0,13,1,0,15,0,303,253,150,0,0,0,0,0,10110
4499,39B188CF-3DB8-4DAA-B0AC-3AEFFC1C5651,BETTER WAY FORD LLC,CASCO BAY FORD,347,74,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,0,10113,5206,0,1,0,0,0,0,41,,,0,36,0,1,1,363,0,,1082,923,673,0,1,0,0,0,15723
4500,C732ADE2-E126-4280-918E-7E8231E7160D,NOBLE AUTOMOTIVE LTD.,,78,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,785,126,0,0,0,0,8,0,0,,0,0,1,0,0,0,0,42,0,89,72,71,0,0,0,0,0,82
4501,47470B87-DCC2-4ADB-8830-B08240005573,REAL AUTO SASU,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6669,1456,31,0,0,9,8,0,0,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10
4502,47470B87-DCC2-4ADB-8830-B08240005573,Trading International Group Inc. (TIC),,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6669,1456,12,0,0,9,8,0,0,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
4503,C732ADE2-E126-4280-918E-7E8231E7160D,NOBLE ENTERPRISES,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785,126,0,0,0,0,8,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4505,129FA1D2-F475-4A41-BD39-602F765A6E22,KEAST FORD LINCOLN MERCURY INC.,KEAST AUTO CENTER,222,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,353,4683,1092,0,2,4,0,0,0,0,,0,0,23,0,0,1,0,3,0,641,608,442,0,1,0,0,0,103
4507,8014AD81-9267-4288-8618-504E1AE4E730,CLASSIC CHEVROLET WEST LLC,CLASSIC ELITE CHEVROLET ,195,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747,0,168706,56671,0,1,0,3,8,0,0,,0,0,54,0,2935,1,1636,0,0,1927,1673,808,0,1,0,0,0,4586
4508,ff7b0385-e604-498c-a20c-a7a6d85df3d8,SUNFAIR CHEVROLET INC.,HARVEST CHEVROLET,298,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4265,3320,24051,9363,0,2,0,0,0,0,0,,0,0,40,0,2542,1,0,57,0,1147,983,745,453,2,0,0,1,1974
4509,E585F5BA-26EC-439A-B4F4-2FCFD92F28B3,JANSEN CHEVROLET CO. INC,,502,29,0,0,253,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473,2,7537,588,0,1,0,1,0,0,20,,,0,31,0,0,2,0,7,,1063,943,648,0,5,0,0,0,2631
4510,33372541-E12B-4BCA-9534-038569D7F8DA,JACK POWELL FORD MERCURY INC.,JACK POWELL FORD ,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,4026,1,0,1,0,0,8,0,0,,0,0,17,0,5,1,0,3,0,453,426,252,1,1,0,0,0,4
4511,38A5A018-AB57-48BD-B8A4-40F29BE72D5A,LIFESTYLE MOTORS LIMITED,,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,16323,2800,0,0,0,0,8,0,264,,,107,60,0,1033,1,1071,0,,967,836,613,5,1,0,0,0,2960
4512,38A5A018-AB57-48BD-B8A4-40F29BE72D5A,LIFESTYLE MOTORS LIMITED,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,16323,2800,0,0,0,0,8,0,122,,,0,16,0,65,1,0,8,,282,277,220,213,1,0,0,0,1552
4513,ff7b0385-e604-498c-a20c-a7a6d85df3d8,HARVEST HONDA,,99,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1660,1255,24051,9363,0,1,1,0,0,0,0,,0,0,25,0,840,1,0,0,0,1085,1035,674,0,1,0,0,1,493
4514,5BAF961B-1F6C-45D8-9228-7E5A8A074F8D,PACIFIC AUTOMOTIVE HOLDINGS INC,ELK GROVE BUICK GMC,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,0,11872,109,0,0,0,1,8,0,0,,0,0,38,0,2085,1,411,3,0,947,832,483,0,1,0,0,0,1701
4517,ED0C419B-C3D3-41ED-B916-831FBDFBF873,GROSS CDJR INC. ,GROSS CHRYSLER DODGE JEEP RAM OF NEILLSVILLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21048,1089,0,1,0,0,0,0,0,,1,0,2,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0
4518,298b30e9-3008-4a9e-87de-1f68b30de12a,CROWN NISSAN - CROWN AUTO DEALERSHIPS INC.,CROWN NISSAN,227,0,0,0,85,34,0,0,11,10,3,0,0,0,0,0,0,0,0,0,4309,3951,272356,49664,0,12,4,27,1040,0,2,,,0,41,1046,4503,1,25,0,,1440,1367,839,1039,2,0,0,0,3788
4519,298b30e9-3008-4a9e-87de-1f68b30de12a,CROWN HYUNDAI - CROWN AUTO DEALERSHIPS INC.,CROWN HYUNDAI,299,0,0,0,71,30,0,0,64,42,5,0,0,0,0,0,0,0,0,0,3345,2527,272356,49664,0,19,0,27,1040,0,4,,,0,55,239,2167,1,50,0,,2226,2023,963,762,28,0,0,0,11678
4520,298b30e9-3008-4a9e-87de-1f68b30de12a,CROWN BUICK GMC,CROWN BUICK GMC,399,0,0,0,109,53,0,0,23,20,1,1,0,0,0,0,0,0,0,0,1630,1418,272356,49662,0,3,0,27,1040,0,11,,,0,117,208,1522,1,52,18,,1236,949,670,159,9,0,0,1,4568
4521,298b30e9-3008-4a9e-87de-1f68b30de12a,CROWN AUTO DEALERSHIPS INC.,CROWN KIA ,293,0,0,0,51,22,0,0,5,4,13,3,0,0,0,0,0,0,0,0,3318,2551,272356,49667,0,6,16,27,1040,0,0,,,0,40,0,804,1,103,44,,1701,1555,791,527,6,0,0,0,7881
4523,298b30e9-3008-4a9e-87de-1f68b30de12a,CROWN AUTO DEALERSHIPS INC.,JAGUAR LANDROVER ST. PETERSBURG,87,0,0,0,29,17,0,0,65,51,9,3,0,0,0,0,0,0,0,0,698,456,272356,49667,0,1,2,27,1040,0,8,,,0,26,0,820,1,59,0,,728,632,213,228,2,0,0,0,4525
4524,298b30e9-3008-4a9e-87de-1f68b30de12a,CROWN HONDA - CROWN AUTO DEALERSHIPS INC.,CROWN HONDA,251,0,0,0,41,30,0,0,2,2,1,0,0,0,0,0,0,0,0,0,3896,3071,272356,49667,0,2,2,27,1040,0,1,,,0,62,575,6978,1,94,0,,2611,2512,1107,692,2,0,0,0,7188
4525,298b30e9-3008-4a9e-87de-1f68b30de12a,CROWN EUROCARS INC.,CROWN EUROCARS PINELLAS PARK,352,0,0,0,153,49,0,0,107,68,4,0,0,0,0,0,0,0,0,0,1852,1415,272356,49670,0,6,1,27,1040,0,9,,,0,53,0,2692,1,368,34,,2497,2223,1071,487,2,0,0,0,7428
4526,298b30e9-3008-4a9e-87de-1f68b30de12a,CROWN VC LLC,CROWN VOLVO CARS,45,0,0,0,17,6,0,0,19,15,6,2,0,0,0,0,0,0,0,0,1114,1027,272356,49670,0,2,1,27,1040,0,0,,,0,20,6,905,1,15,1,,616,566,282,341,2,0,0,0,2232
4527,298b30e9-3008-4a9e-87de-1f68b30de12a,CROWN MOTORS OF CLEARWATER INC.,CROWN ACURA,199,0,0,0,21,12,0,0,45,27,0,0,0,0,0,0,0,0,0,0,2564,2165,272356,49673,0,5,0,27,1040,0,3,,,0,32,563,4091,1,144,0,,1097,1026,413,560,3,0,0,1,5176
4528,298b30e9-3008-4a9e-87de-1f68b30de12a,CROWN EUROCARS INC.,AUDI CLEARWATER,331,0,0,0,88,27,0,0,60,48,8,0,0,0,0,0,0,0,0,0,1541,1329,272356,49673,0,4,2,27,1040,0,0,,,0,43,3,3312,1,51,20,,1316,1177,457,0,2,0,0,0,2292
4529,298b30e9-3008-4a9e-87de-1f68b30de12a,CAPITAL EUROCARS INC,CAPITAL MB PORSCHE,271,0,0,0,152,47,18,13,13,6,1,0,0,0,0,0,0,0,0,0,348,49,272356,49673,0,2,2,27,1040,0,2,,,0,34,0,153,1,6,0,,690,580,346,0,4,0,0,0,1489
4530,298b30e9-3008-4a9e-87de-1f68b30de12a,CAPITAL BMW - CAPITAL EUROCARS INC.,CAPITAL BMW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272356,49673,0,0,0,27,1040,0,0,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
4531,298b30e9-3008-4a9e-87de-1f68b30de12a,CAPITAL EUROCARS INC.,CAPITAL VOLKSWAGEN VOLVO,164,0,0,0,57,34,9,9,2,1,1,0,0,0,0,0,0,0,0,0,431,357,272356,49673,0,1,2,27,1040,0,3,,,0,27,34,954,1,0,0,,718,657,347,0,1,0,0,0,3768
4532,298b30e9-3008-4a9e-87de-1f68b30de12a,CROWN MOTOR COMPANY INC.,CROWN EUROCARS DUBLIN,472,0,0,0,379,133,0,0,0,0,0,0,12,3,0,0,0,0,0,0,2068,1737,272356,49673,0,2,1,27,1040,0,27,,,0,43,473,3888,4,124,52,,946,802,532,517,2,0,0,1,9518
4533,298b30e9-3008-4a9e-87de-1f68b30de12a,CROWN CHRYSLER JEEP INC.,CROWN CHRYSLER JEEP DODGE RAM DUBLIN,155,0,0,0,37,28,0,0,0,0,0,0,7,2,0,0,0,0,0,0,4347,3193,272362,49674,0,1,1,27,1040,0,12,,,0,41,42,4385,1,212,2,,1346,1226,649,647,2,0,0,0,4124
4534,298b30e9-3008-4a9e-87de-1f68b30de12a,CROWN CHRYSLER JEEP INC.,CROWN KIA DUBLIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272360,49674,0,0,0,27,1040,0,0,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
4535,298b30e9-3008-4a9e-87de-1f68b30de12a,DUBLIN MOTORS LLC,CROWN FIAT OF DUBLIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272360,49674,0,1,1,27,1040,0,0,,,0,0,0,0,1,0,0,,0,0,0,0,1,0,0,0,230
4536,298b30e9-3008-4a9e-87de-1f68b30de12a,CROWN CHATTANOOGA LLC,CROWN CHRYSLER DODGE JEEP RAM FIAT,140,0,0,0,68,28,0,0,17,15,0,0,5,4,0,0,0,0,0,0,2985,2133,272358,49675,0,8,2,27,1040,0,1,,,0,35,256,2413,1,136,0,,992,867,369,493,2,0,0,0,11554
4537,298b30e9-3008-4a9e-87de-1f68b30de12a,CROWN CLEVELAND LLC,CROWN CHRYSLER DODGE JEEP RAM CLEVELAND,72,0,0,0,0,0,2,2,28,22,0,0,53,26,0,0,0,0,0,0,1282,949,272359,49675,0,1,0,27,1040,0,4,,,0,28,108,1200,1,145,1,,596,466,293,214,1,0,0,0,4876
4539,37745DB2-9FF3-47FF-8D60-9CD2FAF3BBC1,STEELE LULING LLC,STEELE CHEVROLET GMC LULING,72,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,32,1850,306,0,4,1,0,0,0,22,,,35,20,0,315,1,94,5,,281,267,157,0,0,0,0,0,478
4540,8F7629DC-178F-4F63-90F3-97AB5F719FFD,JANSEN AUTO GROUP LLC,JANSEN CHRYSLER DODGE JEEP RAM,38,6,0,0,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,4,1193,92,0,1,0,1,8,0,0,,0,0,13,0,2,1,0,61,0,215,155,130,1,1,0,0,0,352
4541,8F7629DC-178F-4F63-90F3-97AB5F719FFD,JANSEN AUTO GROUP LLC,JANSEN FORD CHRYSLER DODGE JEEP RAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193,92,0,0,0,1,8,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209
4542,2BE2BC9B-2226-4D53-885A-EE8DC4506527,QUIRK CARS INC,QUIRK KIA SOUTH,147,0,0,0,143,87,0,0,8,7,0,0,0,0,0,0,0,0,0,0,276,258,181906,89573,0,2,0,26,0,0,5,,,0,19,0,588,1,0,5,,465,417,237,0,2,0,0,0,2612
4544,78EF0E4C-C097-4B15-AF7A-8C7EB49ACDEA,LYNCH FORD OF MUKWONAGO LLC,,454,24,0,0,40,28,11,7,4,4,0,0,1,0,0,0,0,0,0,0,277,0,68459,2239,0,1,0,2,0,0,0,,,54,27,0,0,1,176,0,,918,861,568,0,2,0,0,1,4061
